,0
0,Colorado
1,Connecticut
2,Hawaii
3,Idaho
4,Iowa
5,Kansas
6,Kentucky
7,Louisiana
8,Maine
9,Maryland
10,Massachusetts
11,Minnesota
12,Missouri
13,Nebraska
14,Nevada
15,New Hampshire
16,New Jersey
17,New Mexico
18,North Dakota
19,Ohio
20,Oklahoma
21,Pennsylvania
22,Rhode Island
23,South Dakota
24,Tennessee
25,Utah
26,Vermont
27,Virginia
28,West Virginia
29,Wisconsin
30,Wyoming
